year,   jan,    feb,    mar,    apr,    may,    jun,   jul,   aug,   sep,   oct,   nov,   dec,    win,    spr,    sum,    aut,    ann
1957,  58.4,  102.2,   43.3,    6.8,   36.9,   36.6, 101.0,  72.0,  83.5,  51.9,  74.5,  65.2,  271.5,   86.9,  209.6,  209.9,  732.3
1958,  89.0,   72.2,   41.8,   28.1,   61.8,  100.3,  56.3,  99.6, 109.8,  83.9,  60.0,  96.7,  226.5,  131.7,  256.2,  253.7,  899.5
1959,  87.7,    3.7,   69.1,   66.2,   22.9,   28.4,  52.9,  44.5,   3.5,  73.0,  96.7, 168.6,  188.1,  158.2,  125.8,  173.2,  717.2
1960,  87.4,   65.8,   48.0,   26.0,   43.5,   55.4,  91.7, 107.0, 101.9, 197.0, 136.8, 104.0,  321.8,  117.5,  254.1,  435.6, 1064.3
1961, 107.8,   67.0,    2.9,   85.3,   30.4,   32.5,  41.7,  40.3,  72.8,  97.8,  60.8, 100.2,  278.8,  118.6,  114.4,  231.4,  739.5
1962, 105.9,   14.6,   39.9,   49.9,   51.0,    7.1,  49.9,  84.6,  86.0,  43.5,  78.8,  70.4,  220.7,  140.8,  141.6,  208.3,  681.6
1963,  19.6,   22.1,  101.9,   80.1,   45.5,   70.3,  41.0,  88.3,  68.4,  53.0, 154.3,  24.1,  112.0,  227.5,  199.6,  275.6,  768.5
1964,  21.6,   29.9,   94.8,   73.2,   72.2,   89.3,  27.8,  30.3,  20.7,  51.6,  58.1,  70.9,   75.6,  240.2,  147.4,  130.4,  640.4
1965,  78.0,    9.9,   64.5,   44.0,   48.2,   58.1,  84.6,  66.9, 119.2,  18.2,  90.7, 130.6,  158.8,  156.7,  209.5,  228.1,  812.8
1966,  47.8,  113.4,   17.6,   98.8,   56.1,   68.5,  83.6,  86.1,  35.4, 152.5,  62.3,  84.2,  291.8,  172.6,  238.2,  250.2,  906.3
1967,  68.0,   77.5,   55.7,   51.0,  117.3,   44.9,  30.7,  60.7,  85.7, 139.7,  59.9,  66.4,  229.7,  224.0,  136.3,  285.3,  857.5
1968,  65.3,   50.1,   29.2,   65.9,   62.8,   75.8,  74.3,  67.7, 156.0,  85.8,  47.6,  83.7,  181.8,  157.9,  217.9,  289.3,  864.2
1969,  90.7,   48.5,   64.9,   27.5,   85.8,   34.2,  68.6,  74.0,  22.5,   6.1, 118.4,  76.0,  222.9,  178.2,  176.9,  147.0,  717.3
1970, 103.2,   59.9,   51.1,   63.0,   26.2,   30.9,  59.0,  63.0,  71.9,  19.8, 188.2,  43.0,  239.1,  140.4,  152.9,  279.9,  779.3
1971, 107.3,   24.6,   66.2,   54.2,   51.9,  136.5,  25.8,  73.9,  14.0,  62.8,  64.1,  26.4,  174.9,  172.3,  236.2,  140.8,  707.6
1972,  84.7,   72.1,   68.1,   62.1,   58.4,   44.3,  38.9,  25.0,  36.0,  28.1,  79.2, 108.1,  183.3,  188.5,  108.2,  143.3,  704.9
1973,  32.0,   24.7,   17.6,   54.5,   71.4,   64.7,  50.9,  40.4,  81.1,  38.8,  32.1,  53.2,  164.9,  143.6,  156.0,  152.0,  561.6
1974, 109.8,  113.7,   35.4,   15.2,   30.0,   75.6,  51.9,  88.6, 168.2,  73.0, 153.0,  53.0,  276.7,   80.7,  216.1,  394.2,  967.5
1975, 128.0,   28.1,   95.2,   49.4,   54.7,   12.1,  37.2,  40.1, 134.0,  30.7,  71.5,  33.2,  209.2,  199.3,   89.4,  236.1,  714.2
1976,  18.4,   32.2,   21.9,   10.7,   25.1,   14.4,  31.0,  18.3, 132.4, 146.6, 125.0,  93.4,   83.8,   57.6,   63.7,  403.9,  669.1
1977,  88.0,  103.7,   75.4,   33.9,   48.7,   68.9,  22.0, 119.1,  23.7,  53.3,  84.1,  96.6,  285.0,  157.9,  210.0,  161.1,  817.3
1978, 103.2,   62.3,   66.8,   57.2,   54.6,   41.8,  77.8,  42.3,  20.7,   6.1,  22.8, 160.0,  262.2,  178.6,  161.9,   49.5,  715.5
1979,  76.2,   61.0,  114.4,   61.3,  106.1,   43.7,  33.9,  67.7,  20.2,  62.6,  59.7, 131.7,  297.1,  281.8,  145.3,  142.5,  838.4
1980,  53.6,   62.1,   85.3,   19.9,   26.1,  104.8,  76.3,  65.8,  56.5, 110.0,  50.8,  48.1,  247.4,  131.4,  246.9,  217.4,  759.5
1981,  34.1,   28.3,  134.3,   41.1,   92.4,   42.9,  48.2,  32.6, 134.9,  97.9,  43.3,  96.3,  110.6,  267.8,  123.7,  276.0,  826.3
1982,  47.7,   39.5,   81.3,   19.7,   46.2,   85.1,  31.7,  57.2,  66.2, 152.5, 110.3,  93.3,  183.5,  147.2,  174.0,  329.0,  830.8
1983,  72.2,   34.6,   44.4,  101.8,   98.2,   39.0,  28.3,  22.0,  69.0,  60.2,  44.1,  84.0,  200.0,  244.4,   89.4,  173.2,  697.6
1984, 133.5,   39.4,   74.0,    4.4,   82.5,   28.7,  29.5,  31.7,  79.6,  98.0, 116.0,  93.1,  256.9,  160.9,   90.0,  293.6,  810.5
1985,  67.2,   34.0,   56.4,   45.9,   56.6,   88.5,  52.6, 104.0,  18.9,  29.7,  58.1, 120.5,  194.3,  158.9,  245.1,  106.7,  732.4
1986, 121.5,   15.4,   65.0,   66.6,   65.0,   21.9,  43.9,  93.9,  35.5,  85.0, 117.0,  98.4,  257.5,  196.6,  159.7,  237.5,  829.1
1987,  19.9,   43.4,   72.0,   56.4,   43.2,   86.1,  75.1,  46.2,  42.9, 187.1,  72.7,  33.3,  161.7,  171.6,  207.4,  302.7,  778.2
1988, 158.9,   50.1,   78.6,   37.6,   43.0,   27.6,  88.6,  54.3,  46.0,  82.1,  30.5,  17.8,  242.3,  159.2,  170.4,  158.6,  714.9
1989,  33.2,   70.0,   75.8,   78.7,   11.7,   39.8,  29.5,  36.5,  33.8,  76.7,  46.0, 146.4,  121.0,  166.2,  105.7,  156.4,  677.9
1990, 114.3,  135.4,    8.3,   43.0,    9.5,   56.5,  15.4,  34.6,  37.1,  85.7,  50.4,  68.3,  396.0,   60.9,  106.5,  173.2,  658.5
1991,  96.1,   39.1,   57.5,   60.2,   14.7,  113.7,  84.1,  16.7,  51.8,  49.0,  74.0,  21.2,  203.5,  132.3,  214.4,  174.9,  678.0
1992,  20.9,   31.4,   56.4,   77.2,   34.3,   35.0,  74.3, 109.9,  78.9,  75.9, 136.2,  73.1,   73.5,  167.9,  219.2,  290.9,  803.5
1993,  93.4,    7.5,   30.3,   86.5,   58.7,   54.6,  58.9,  34.9, 114.0, 125.1,  54.3, 135.7,  174.1,  175.5,  148.3,  293.4,  854.0
1994, 115.7,   64.2,   56.9,   67.0,   85.1,   32.8,  25.9,  62.3,  85.1, 105.4,  63.2, 113.7,  315.6,  209.1,  120.9,  253.6,  877.2
1995, 156.9,  100.6,   54.6,   19.5,   29.5,   17.9,  32.2,   4.8, 129.9,  35.8,  71.1,  95.6,  371.2,  103.6,   55.0,  236.9,  748.6
1996,  61.4,   67.0,   41.9,   30.3,   46.1,   17.0,  34.1,  73.4,  28.4,  54.8, 133.5,  27.7,  224.0,  118.2,  124.5,  216.8,  615.6
1997,  15.8,   89.8,   16.1,   11.8,   48.3,  113.5,  28.3,  93.5,  11.6,  74.2, 125.9,  95.5,  133.3,   76.2,  235.3,  211.8,  724.3
1998, 105.4,    9.3,   68.0,  105.4,   25.3,  103.0,  35.6,  20.7, 105.9, 141.7,  62.0,  85.2,  210.2,  198.6,  159.3,  309.5,  867.4
1999, 114.2,   31.9,   37.0,   56.6,   36.3,   75.6,  13.2, 106.7, 124.4,  67.1,  42.1, 132.7,  231.3,  129.9,  195.6,  233.6,  837.9
2000,  26.8,   80.5,   22.3,  146.2,   99.7,   20.0,  56.9,  46.1, 108.1, 197.4, 171.6, 133.4,  240.0,  268.3,  123.1,  477.1, 1109.2
2001,  99.2,   99.6,  122.0,   78.5,   32.4,   23.4,  55.4,  79.8,  72.2, 132.9,  40.8,  25.6,  332.2,  233.0,  158.6,  245.9,  861.9
2002,  85.8,  102.0,   46.7,   43.3,   93.0,   59.1,  73.5,  47.5,  40.2,  93.6, 183.8, 140.8,  213.4,  183.0,  180.0,  317.6, 1009.3
2003,  86.6,   32.4,   25.2,   36.6,   45.7,   46.0,  58.0,  18.0,  12.2,  51.0, 143.2,  85.2,  259.8,  107.4,  122.0,  206.3,  640.0
2004, 103.5,   32.5,   43.5,   77.3,   51.6,   33.6,  53.3, 102.5,  35.1, 129.7,  34.7,  59.3,  221.2,  172.5,  189.4,  199.4,  756.7
2005,  39.3,   24.7,   51.5,   50.0,   33.0,   34.2,  61.5,  54.9,  40.0,  97.6,  54.5,  69.2,  123.3,  134.5,  150.6,  192.1,  610.3
2006,  23.3,   57.5,   58.6,   39.0,   96.3,   20.6,  38.9,  61.4,  71.2, 117.8,  96.9, 106.0,  150.0,  193.9,  120.9,  285.9,  787.5
2007,  79.6,  103.7,   55.7,    2.5,  104.5,  101.9, 119.6,  52.6,  30.6,  45.2,  81.3,  66.3,  289.3,  162.7,  274.1,  157.0,  843.4
2008, 108.4,   26.6,   92.7,   62.6,   86.5,   43.7,  76.5,  75.0,  72.1,  65.5,  97.7,  44.6,  201.3,  241.8,  195.2,  235.4,  852.0
