time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2022-01-04 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-04 21:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-04 20:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-04 19:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-05 18:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-05 17:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-05 16:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-05 15:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-05 14:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-05 13:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-05 12:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-05 11:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-05 10:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-05 09:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-05 08:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-05 06:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-05 07:00:00,0.0,51.6,-0.2,51.5074,-0.1278
